subject,trial,block,condition,stimulus,doubled
,1,1,,,0
,2,1,,,0
,3,1,,,0
,4,1,,,0
,5,1,,,0
,6,1,,,0
,7,1,,,0
,8,1,,,0
,9,1,,,0
,10,1,,,0
,11,1,,,0
,12,1,,,0
,13,1,,,1
,14,1,,,0
,15,1,,,0
,16,1,,,0
,17,1,,,0
,18,1,,,0
,19,1,,,0
,20,1,,,0
,21,1,,,1
,22,1,,,0
,23,1,,,0
,24,1,,,0
,25,1,,,0
,26,1,,,0
,27,2,,,0
,28,2,,,0
,29,2,,,0
,30,2,,,0
,31,2,,,1
,32,2,,,0
,33,2,,,0
,34,2,,,0
,35,2,,,0
,36,2,,,0
,37,2,,,0
,38,2,,,0
,39,2,,,0
,40,2,,,1
,41,2,,,0
,42,2,,,0
,43,2,,,0
,44,2,,,0
,45,2,,,0
,46,2,,,0
,47,2,,,0
,48,2,,,0
,49,2,,,0
,50,2,,,0
,51,2,,,0
,52,2,,,0
,53,3,,,0
,54,3,,,0
,55,3,,,0
,56,3,,,0
,57,3,,,0
,58,3,,,0
,59,3,,,1
,60,3,,,0
,61,3,,,0
,62,3,,,0
,63,3,,,0
,64,3,,,0
,65,3,,,0
,66,3,,,0
,67,3,,,0
,68,3,,,0
,69,3,,,0
,70,3,,,0
,71,3,,,0
,72,3,,,0
,73,3,,,0
,74,3,,,0
,75,3,,,1
,76,3,,,0
,77,3,,,0
,78,3,,,0
,79,4,,,0
,80,4,,,0
,81,4,,,0
,82,4,,,0
,83,4,,,0
,84,4,,,0
,85,4,,,0
,86,4,,,0
,87,4,,,0
,88,4,,,0
,89,4,,,1
,90,4,,,0
,91,4,,,0
,92,4,,,0
,93,4,,,0
,94,4,,,0
,95,4,,,0
,96,4,,,0
,97,4,,,0
,98,4,,,0
,99,4,,,0
,100,4,,,0
,101,4,,,1
,102,4,,,0
,103,4,,,0
,104,4,,,0
