subject,trial,phase,block,stimulus,doubled
,1,1,2,,0
,2,1,2,,0
,3,1,2,,0
,4,1,2,,0
,5,1,2,,0
,6,1,2,,0
,7,1,2,,0
,8,1,2,,0
,9,1,2,,0
,10,1,2,,0
,11,1,2,,0
,12,1,2,,0
,13,1,2,,1
,14,1,2,,0
,15,1,2,,0
,16,1,2,,0
,17,1,2,,0
,18,1,2,,0
,19,1,2,,0
,20,1,2,,0
,21,1,2,,1
,22,1,2,,0
,23,1,2,,0
,24,1,2,,0
,25,1,2,,0
,26,1,2,,0
,27,2,2,,0
,28,2,2,,0
,29,2,2,,0
,30,2,2,,0
,31,2,2,,0
,32,2,2,,0
,33,2,2,,0
,34,2,2,,0
,35,2,2,,1
,36,2,2,,0
,37,2,2,,0
,38,2,2,,0
,39,2,2,,0
,40,2,2,,0
,41,2,2,,0
,42,2,2,,0
,43,2,2,,0
,44,2,2,,0
,45,2,2,,1
,46,2,2,,0
,47,2,2,,0
,48,2,2,,0
,49,2,2,,0
,50,2,2,,0
,51,2,2,,0
,52,2,2,,0
,53,3,2,,0
,54,3,2,,0
,55,3,2,,1
,56,3,2,,0
,57,3,2,,0
,58,3,2,,0
,59,3,2,,0
,60,3,2,,0
,61,3,2,,0
,62,3,2,,1
,63,3,2,,0
,64,3,2,,0
,65,3,2,,0
,66,3,2,,0
,67,3,2,,0
,68,3,2,,0
,69,3,2,,0
,70,3,2,,0
,71,3,2,,0
,72,3,2,,0
,73,3,2,,0
,74,3,2,,0
,75,3,2,,1
,76,3,2,,0
,77,3,2,,0
,78,3,2,,0
,79,4,2,,0
,80,4,2,,0
,81,4,2,,0
,82,4,2,,0
,83,4,2,,1
,84,4,2,,0
,85,4,2,,0
,86,4,2,,0
,87,4,2,,0
,88,4,2,,0
,89,4,2,,0
,90,4,2,,0
,91,4,2,,0
,92,4,2,,0
,93,4,2,,0
,94,4,2,,0
,95,4,2,,0
,96,4,2,,0
,97,4,2,,0
,98,4,2,,0
,99,4,2,,1
,100,4,2,,0
,101,4,2,,0
,102,4,2,,0
,103,4,2,,0
,104,4,2,,0
