subject,trial,phase,block,stimulus,doubled
,1,1,3,,0
,2,1,3,,0
,3,1,3,,0
,4,1,3,,0
,5,1,3,,0
,6,1,3,,0
,7,1,3,,0
,8,1,3,,0
,9,1,3,,0
,10,1,3,,0
,11,1,3,,1
,12,1,3,,0
,13,1,3,,0
,14,1,3,,0
,15,1,3,,0
,16,1,3,,0
,17,1,3,,1
,18,1,3,,0
,19,1,3,,0
,20,1,3,,0
,21,1,3,,0
,22,1,3,,0
,23,1,3,,0
,24,1,3,,0
,25,1,3,,0
,26,1,3,,0
,27,2,3,,0
,28,2,3,,1
,29,2,3,,0
,30,2,3,,0
,31,2,3,,0
,32,2,3,,0
,33,2,3,,0
,34,2,3,,0
,35,2,3,,0
,36,2,3,,0
,37,2,3,,0
,38,2,3,,0
,39,2,3,,0
,40,2,3,,1
,41,2,3,,0
,42,2,3,,0
,43,2,3,,0
,44,2,3,,0
,45,2,3,,0
,46,2,3,,0
,47,2,3,,0
,48,2,3,,0
,49,2,3,,0
,50,2,3,,0
,51,2,3,,0
,52,2,3,,0
,53,3,3,,0
,54,3,3,,0
,55,3,3,,0
,56,3,3,,0
,57,3,3,,0
,58,3,3,,0
,59,3,3,,1
,60,3,3,,0
,61,3,3,,0
,62,3,3,,0
,63,3,3,,0
,64,3,3,,0
,65,3,3,,0
,66,3,3,,0
,67,3,3,,0
,68,3,3,,0
,69,3,3,,0
,70,3,3,,0
,71,3,3,,0
,72,3,3,,1
,73,3,3,,0
,74,3,3,,0
,75,3,3,,0
,76,3,3,,0
,77,3,3,,0
,78,3,3,,0
,79,4,3,,0
,80,4,3,,1
,81,4,3,,0
,82,4,3,,0
,83,4,3,,0
,84,4,3,,0
,85,4,3,,0
,86,4,3,,0
,87,4,3,,0
,88,4,3,,0
,89,4,3,,0
,90,4,3,,0
,91,4,3,,0
,92,4,3,,0
,93,4,3,,0
,94,4,3,,0
,95,4,3,,1
,96,4,3,,0
,97,4,3,,0
,98,4,3,,0
,99,4,3,,0
,100,4,3,,0
,101,4,3,,0
,102,4,3,,0
,103,4,3,,0
,104,4,3,,0
