Subject,Run,Condition,Filename,Onset,Repeat,Response,RT,Accuracy
subtest,3,3,line_pngs_grid/grid_BatBaseball.png,18.016,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_BatBaseball.png,18.6994,1,1,0.43475,1
subtest,3,3,line_pngs_grid/grid_Snowman.png,19.3993,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_pliers.png,20.0826,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_PalmTree.png,20.7826,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_Fryingpan.png,21.4659,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_Fryingpan.png,22.1659,1,1,0.52373,1
subtest,3,3,line_pngs_grid/grid_HornFrench.png,22.8493,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_OBJ8.png,23.5493,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_belt.png,24.2492,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_Pig.png,24.9326,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_Leaf.png,25.6326,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_OBJ18.png,26.316,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_OBJ22A.png,27.0159,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_OBJ35.png,27.6993,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_bowl.png,28.3992,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_door.png,29.0825,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_Ant.png,29.7825,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_CHAIR_B.png,30.4658,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_Racket.png,31.1658,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_OBJ31.png,31.8492,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_Scissors.png,32.5492,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_Guitar.png,33.2325,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_Screwdriver.png,33.9325,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_WHEEL_A.png,34.6324,0,0,NaN,0
subtest,3,3,line_pngs_grid/grid_OBJ30.png,35.3158,0,0,NaN,0
subtest,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.12.00 PM.png,36.0158,0,0,NaN,0
