Subject,Run,Condition,Filename,Onset,Repeat,Response,RT,Accuracy
CM,5,1,word_pngs_grid/grid_powder.png,18.0101,0,0,NaN,0
CM,5,1,word_pngs_grid/grid_pencil.png,18.7041,0,0,NaN,0
CM,5,1,word_pngs_grid/grid_crystal.png,19.393,0,0,NaN,0
CM,5,1,word_pngs_grid/grid_brick.png,20.0867,0,0,NaN,0
CM,5,1,word_pngs_grid/grid_storm.png,20.777,0,0,NaN,0
CM,5,1,word_pngs_grid/grid_baby.png,21.4711,0,0,NaN,0
CM,5,1,word_pngs_grid/grid_beach.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_shower.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_park .png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_flag.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_mate.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_cherry.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_field.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_coat.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_coat.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_kite.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_mouth.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_ankle.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_radish.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_liver.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_purse.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_corner.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_breeze.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_breeze.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_forest.png,,,0,NaN,0
CM,5,1,word_pngs_grid/grid_snow.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.14.26 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.48.26 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_face_draw11_1.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_face_draw14_1.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_face_draw14_1.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.57.45 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.11.18 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_face_draw16_1.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_face_draw5_1.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 3.46.46 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_face_draw4_4.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.17.15 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 3.46.56 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.12.21 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.14.05 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.08.30 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.08.30 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_face_draw8_2.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.09.31 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.14.24 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_face_draw8_4.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 3.47.19 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.52.34 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.53.08 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.12.05 PM.png,,,0,NaN,0
CM,5,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.12.16 PM.png,,,0,NaN,0
CM,5,3,line_pngs_grid/grid_BowTie.png,,,0,NaN,0
