Subject,Run,Condition,Filename,Onset,Repeat,Response,RT,Accuracy
K005,3,3,line_pngs_grid/grid_OBJ18.png,18.0172,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_OBJ29.png,18.7161,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_HeartReal.png,19.3997,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_OBJ20.png,20.0999,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_ironingboard.png,20.7824,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_door.png,21.4837,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_OBJ22A.png,22.1666,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_BatBaseball.png,22.8674,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_OBJ40.png,23.5495,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_Axe.png,24.2491,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_wineglass.png,24.9501,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_Sandwich.png,25.6336,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_Elephant.png,26.3331,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_Scissors.png,27.0161,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_Butterfly.png,27.7158,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_OBJ39A.png,28.3993,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_OBJ1.png,29.0988,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_OBJ32.png,29.7813,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_Tent.png,30.4817,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_Tent.png,31.1656,1,1,1.0546,1
K005,3,3,line_pngs_grid/grid_PalmTree.png,31.8497,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_PalmTree.png,32.5467,1,0,NaN,0
K005,3,3,line_pngs_grid/grid_TRICYC_A.png,33.2461,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_WHEEL_A.png,33.946,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_Snowman.png,34.6291,0,0,NaN,0
K005,3,3,line_pngs_grid/grid_Pig.png,35.3128,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.09.31 PM.png,36.0117,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.51.31 PM.png,36.6994,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_face_draw16_2.png,37.3939,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_face_draw1_1.png,38.0825,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.17.11 PM.png,38.7764,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_face_draw14_2.png,39.4662,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.15.18 PM.png,40.1596,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.58.02 PM.png,40.8587,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_face_draw9_2.png,41.5594,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.56.16 PM.png,42.249,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.11.18 PM.png,42.9421,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_face_draw12_3.png,43.6327,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.08.30 PM.png,44.3256,0,1,0.27003,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 3.47.36 PM.png,45.008,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.15.24 PM.png,45.6989,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.15.24 PM.png,46.3999,1,0,NaN,0
K005,3,4,face_pngs_grid/grid_face_draw12_4.png,47.0826,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.13.43 PM.png,47.7896,0,1,0.33406,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.14.26 PM.png,48.473,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.14.26 PM.png,49.1653,1,1,0.38013,1
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.13.33 PM.png,49.8553,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.56.54 PM.png,50.55,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.52.22 PM.png,51.2375,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.53.16 PM.png,51.9323,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_face_draw1_3.png,52.633,0,0,NaN,0
K005,3,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.12.44 PM.png,53.3209,0,0,NaN,0
K005,3,1,word_pngs_grid/grid_knee.png,54.016,0,0,NaN,0
K005,3,1,word_pngs_grid/grid_shower.png,54.6985,0,0,NaN,0
K005,3,1,word_pngs_grid/grid_shower.png,55.3987,1,1,0.4938,1
K005,3,1,word_pngs_grid/grid_olive.png,56.0858,0,0,NaN,0
K005,3,1,word_pngs_grid/grid_jelly.png,56.7829,0,0,NaN,0
K005,3,1,word_pngs_grid/grid_pencil.png,57.4832,0,0,NaN,0
K005,3,1,word_pngs_grid/grid_radio.png,58.1678,0,0,NaN,0
K005,3,1,word_pngs_grid/grid_frame.png,58.8662,0,0,NaN,0
K005,3,1,word_pngs_grid/grid_hawk.png,59.5497,0,0,NaN,0
K005,3,1,word_pngs_grid/grid_purse.png,60.2484,0,0,NaN,0
K005,3,1,word_pngs_grid/grid_farm.png,60.9499,0,0,NaN,0
K005,3,1,word_pngs_grid/grid_flag.png,61.6328,0,0,NaN,0
