Subject,Run,Condition,Filename,Onset,Repeat,Response,RT,Accuracy
Micah,6,3,line_pngs_grid/grid_OBJ18.png,18.0285,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_OBJ29.png,18.711,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_HeartReal.png,19.3946,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_OBJ20.png,20.0948,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_ironingboard.png,20.7777,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_door.png,21.4776,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_OBJ22A.png,22.1608,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_BatBaseball.png,22.861,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_OBJ40.png,23.5434,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_Axe.png,24.2437,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_wineglass.png,24.9446,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_Sandwich.png,25.6293,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_Elephant.png,26.329,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_Scissors.png,27.011,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_Butterfly.png,27.7112,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_OBJ39A.png,28.3936,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_OBJ1.png,29.0946,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_OBJ32.png,29.7768,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_Tent.png,30.4782,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_Tent.png,31.1784,1,1,0.52779,1
Micah,6,3,line_pngs_grid/grid_PalmTree.png,31.8624,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_PalmTree.png,32.561,1,0,NaN,0
Micah,6,3,line_pngs_grid/grid_TRICYC_A.png,33.2434,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_WHEEL_A.png,33.944,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_Snowman.png,34.6293,0,0,NaN,0
Micah,6,3,line_pngs_grid/grid_Pig.png,35.3293,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_feather.png,36.0109,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_ankle.png,36.7112,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_puzzle.png,37.3943,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_radio.png,38.0941,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_leaf.png,38.7777,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_pond.png,39.4784,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_judge.png,40.1781,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_dress.png,40.8618,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_sugar.png,41.5607,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_cloth.png,42.2442,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_fire.png,42.9451,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_olive.png,43.6279,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_face.png,44.3287,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_monkey.png,45.0106,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_knee.png,45.711,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_knee.png,46.3945,1,1,0.46313,1
Micah,6,2,scr_word_pngs_grid/grid_scr_paper.png,47.094,0,0,NaN,0
Micah,6,2,scr_word_pngs_grid/grid_scr_gold.png,47.777,0,0,NaN,0
