Subject,Run,Condition,Filename,Onset,Repeat,Response,RT,Accuracy
AH,4,4,face_pngs_grid/grid_face_draw15_1.png,18.0086,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_face_draw14_1.png,18.7076,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.57.20 PM.png,19.4023,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.53.16 PM.png,20.091,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_face_draw8_2.png,20.7854,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.52.34 PM.png,21.4745,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.52.58 PM.png,22.1671,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_face_draw6_3.png,22.8569,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_face_draw13_1.png,23.5526,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.11.20 PM.png,24.252,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 3.46.56 PM.png,24.9391,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.56.07 PM.png,25.6217,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.09.39 PM.png,26.3171,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.56.23 PM.png,27.0183,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.56.23 PM.png,27.7187,1,1,0.54797,1
AH,4,4,face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.15.21 PM.png,28.4033,0,0,NaN,0
AH,4,4,face_pngs_grid/grid_face_draw10_3.png,29.0848,0,0,NaN,0
